title,price,model,features,store
"GIGABYTE RTX 3080 Ti Gaming OC 12G Graphics Card, 12GB 384-Bit GDDR6X",155000.0,Model not found,"['Brand Gigabyte', 'Graphics Coprocessor NVIDIA GeForce RTX 3080 Ti', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6X']",Zestro
Sapphire Pulse AMD Radeon RX 6600 XT Graphics Card (Used),66000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor  RX 6600 XT', 'Video Output Interface DP, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']",Zestro
MSI AMD RX 6600 MECH 2X – 8GB Graphics Card (Used),54000.0,Model not found,"['Brand MSI', 'Graphics Coprocessor RX 6600', 'Video Output Interface DP, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']",Zestro
MSI Gaming X 8G RTX 3050 Graphics Card,70000.0,Model not found,"['Brand MSI', 'Graphics Coprocessor  RTX 3050', 'Video Output Interface DP, HDMI', 'Chipset Brand Nvidia', 'Graphics RAM Type GDDR6']",Zestro
XFX Speedster QICK 210 RX 6500 XT 4GB GDDR6 Graphics Card,37000.0,Model not found,"['Brand XFX', 'Graphics Coprocessor AMD RX 6500 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']",Zestro
MSI RX 6800 XT 16GB GDRR6 256-Bit Graphics Card Used,110000.0,Model not found,"['Brand MSI', 'Graphics Coprocessor AMD Radeon RX 6800 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']",Zestro
"ASUS TUF AMD Radeon RX 6900 XT OC, 16GB GDDR6 Graphics Card Used",135000.0,Model not found,"['Brand ASUS', 'Graphics Coprocessor AMD Radeon RX 6900 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']",Zestro
ASUS GTX 750 Ti 2GB 128Bit GDDR5 Graphics Card Used,0.0,Model not found,"['Brand ASUS', 'Graphics RAM Size 2GB', 'Graphics Coprocessor GTX 750Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']",Zestro
GIGABYTE RX 5500 XT OC 8GB 128-Bit GDDR6 Graphics Card,35000.0,Model not found,"['Brand Gigabyte', 'Graphics Coprocessor AMD Radeon RX 5500 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']",Zestro
"MSI GeForce RTX 2070 8GB GDRR6, 256-Bit Graphics Card (Used)",70000.0,Model not found,"['Brand MSI', 'Graphics Coprocessor  RTX 2070', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA', 'Graphics RAM Type GDDR6']",Zestro
"MSI GeForce GTX 1060 6GB GDRR5, 192-bit  Graphics Card (Used)",37000.0,Model not found,"['Brand MSI', 'Series GTX 1060 6G OCV1', 'Graphics Coprocessor  GTX 1060', 'Video Output Interface DP, DVI, HDMI', 'Chipset Brand NVIDIA']",Zestro
SAPPHIRE Radeon Pulse RX 5600 XT OC 6GB GDDR6 Graphics Card,50000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon Navi', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']",Zestro
"ZOTAC RTX 3060 Ti, Twin Edge OC Graphics Card Used",88000.0,Model not found,"['Brand ZOTAC', 'Graphics Coprocessor  RTX 3060 Ti', 'Video Output Interface DP, HDMI', 'Chipset Brand ZOTAC', 'Graphics RAM Type GDDR6X']",Zestro
"ZOTAC RTX 2080 Ti AMP,11GB Graphics Card (Used)",87000.0,Model not found,"['Brand ZOTAC', 'Graphics Coprocessor  RTX 2080 Ti', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6']",Zestro
"ZOTAC RTX 2060 6GB, GDDR6, Gaming Graphics Card (Used)",52000.0,Model not found,"['Brand ZOTAC', 'Graphics Coprocessor  RTX 2060', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6']",Zestro
MSI GTX 1660 SUPER 6 GB GAMING X,45000.0,Model not found,"['Brand MSI', 'Graphics Coprocessor NVIDIA GeForce GTX 1660', 'Chipset Brand Nvidia', 'Video Output Interface HDMI', 'Graphics Ram Type GDDR6']",Zestro
Sapphire Pulse RX 570 4GB GDDR5 Graphics Card (Used),20000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon RX 570', 'Chipset Brand AMD Radeon RX 570', 'Series 11266-04-20G', 'Graphics Ram Type DRAM']",Zestro
MSI Gaming GeForce RTX 3090 – 24GB Graphics Card (Used),210000.0,Model not found,"['Brand MSI', 'Graphics RAM Size 24GB', 'Graphics Coprocessor  RTX 3090', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6X']",Zestro
ZOTAC GAMING GeForce RTX 3070 Twin – 8GB Graphics Card,93000.0,Model not found,"['Brand ZOTAC', 'Graphics RAM Size 8GB', 'Graphics Coprocessor  RTX 3070', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6']",Zestro
ZOTAC GAMING GeForce 3080 Trinity Graphics Card (Used),130000.0,Model not found,"['Brand ZOTAC', 'Graphics RAM Size 10GB', 'Graphics Coprocessor  RTX 3080', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6']",Zestro
ZOTAC GAMING GeForce GTX 1660 – 6GB Graphics Card,40000.0,Model not found,"['Brand ZOTAC', 'Graphics RAM Size 6GB', 'Graphics Coprocessor  GTX 1660', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']",Zestro
Gigabyte RX 480 8GB G1 Gaming Graphics Card (Used),23000.0,Model not found,"['Brand Gigabyte', 'Graphics RAM Size 8GB', 'Graphics Coprocessor RX 480', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5']",Zestro
Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards Used,19000.0,Model not found,"['Brand Gigabyte', 'Graphics Coprocessor AMD Radeon RX 580', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5', 'Series GV-RX580GAMING-4GD']",Zestro
SAPPHIRE PULSE Radeon RX 560 4GB Graphic Card (Used),24000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor RX 560', 'Chipset Brand Nvidia', 'Graphics Ram Size 4 GB', 'Memory Speed 6000 MHz', 'Graphics Ram Type DDR SDRAM']",Zestro
Sapphire Nitro RX 470 4GB Graphic Card,18000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon RX 470', 'Chipset Brand AMD', 'Graphics Ram Type DDR5 SDRAM']",Zestro
MSI RX 580 8GB OC ARMOR Graphic Cards (Used),26500.0,Model not found,"['Series Radeon RX 580 ARMOR 8G OC', 'Brand MSI', 'Graphics Coprocessor AMD FirePro V7900', 'Chipset Brand AMD Radeon RX 580', 'Graphics Ram Type GDDR5']",Zestro
MSI GeForce GTX 1650 SUPER GAMING X 4GB,32000.0,Model not found,"['Series NVIDIA GeForce GTX 1650', 'Brand MSI', 'Graphics Coprocessor NVIDIA GeForce GTX 1650', 'Chipset Brand Nvidia', 'Video Output Interface DisplayPort, HDMI', 'Graphics Ram Type GDDR6']",Zestro
MSI GTX 1080 Ti Gaming X – 11GB Graphics Card (Used),55000.0,Model not found,"['Brand MSI', 'Series GTX 1080 Ti GAMING X 11G', 'Graphics Coprocessor GTX 1080 Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']",Zestro
MSI GeForce GTX 1070 Aero ITX OC 8GB Graphics Card (Used),45000.0,Model not found,"['Brand MSI', 'Series  GTX 1070 AERO ITX 8G OC', 'Graphics Coprocessor  GTX 1070', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']",Zestro
MSI GTX 1660 Ti GAMING X Graphics Cards (Used),48000.0,Model not found,"['Brand MSI', 'Series  GTX 1660 Ti GAMING X 6G', 'Graphics Coprocessor  GTX 1060', 'Video Output Interface DP, HDMI']",Zestro
MSI GTX 750Ti 2GB Graphics Card (Used),0.0,Model not found,"['Brand MSI', 'Graphics RAM Size 2GB', 'Graphics Coprocessor GTX 750Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']",Zestro
